step_index,target_name,expected,detected,confidence,ts_detected,correct
0,Center,center,right,184.63729406591804,123.3523051738739,False
1,Left,left,right,246.84321538183195,123.23999190330505,False
2,Center,center,right,182.65704483962773,131.47001910209656,False
3,Right,right,left,157.65159266258368,136.3530831336975,False
4,Center,center,left,225.30563692153123,141.26970505714417,False
5,Top,up,right,201.40540701217418,146.3266613483429,False
6,Center,center,right,207.3218699357721,146.3266613483429,False
7,Bottom,down,,,,False
8,Center,center,,,,True
9,Left,left,right,184.11397943401371,171.41360783576965,False
10,Right,right,right,187.30093140017192,171.41360783576965,True
11,Left,left,left,376.48683519693407,176.34293055534363,True
12,Top,up,right,382.0372849583791,181.45963978767395,False
13,Bottom,down,left,282.2904660797024,189.13947224617004,False
14,Top,up,left,294.21897219927155,189.13947224617004,False
,,,,,,
,SUMMARY,�,�,�,�,3/15 (20.0%)
,THRESHOLDS,H_THRESH: 169.86284007169073,V_THRESH: 233.9921895876482,�,�,�
,BASELINE,Center Baseline: 0.0,-,�,�,�
