step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
12,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3370817267459827,1.109470177935534,1.0295286872646012,5.6714995107359405
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 1.3371, Right: 1.1095","Up: 1.0295, Down: 5.6715",,,,,,,,,,,,,,,,,,,,,
