step_index,target_name,expected_h,expected_v,detected_h,detected_v,is_blink,blink_duration,correct,blink_threshold
0,center,,,,,False,,True,
1,left,left,,,,False,,False,
2,center,,,,,False,,True,
3,right,right,,,,False,,False,
4,center,,,,,False,,True,
5,up,,up,,,False,,False,
6,center,,,,,False,,True,
7,down,,down,,,False,,False,
8,center,,,,,False,,True,
9,left,left,,,,False,,False,
10,right,right,,,,False,,False,
11,left,left,,,,False,,False,
12,center,,,,,False,,True,
13,up,,up,,,False,,False,
14,down,,down,,,False,,False,
15,up,,up,,,False,,False,
,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,
,THRESHOLDS,"Left: 3.5979, Right: 3.4842","Up: 2.5541, Down: 1.9189",,,,,,Blink: 13.1274
